run_timestamp,pipeline_duration_ms,restaurant_count,product_count,fact_count,error_count,osm_record_count,google_record_count,seed_record_count,fallback_used
20260910_161137,,0,42,0,1,,,,
20260910_161226,,17,42,91,1,,,,
20260911_161205,,28,42,223,0,,,,
20260911_162102,,28,42,223,0,,,,
20260911_162646,,28,42,223,0,,,,
20260911_164534,,40,62,280,0,,,,
20260912_164129,17660.9,40,57,280,1,14.0,0.0,108.0,True
20260912_164329,3284.2,40,57,280,1,14.0,0.0,108.0,True
20260913_032928,2106.3,40,57,280,1,14.0,0.0,108.0,True
20260913_154233,14931.2,40,57,280,1,14.0,0.0,108.0,True
20260914_033958,2606.1,40,57,280,1,14.0,0.0,108.0,True
20260914_174848,8666.3,40,57,280,1,14.0,0.0,108.0,True
